

A1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_stores, 7921526.0000,6131452.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439281.0000,6122448.0000
sim_IPC, 2.7164,1.2507,1.4039,1.7995,1.4802,1.1560,2.0208,1.9007,1.7632,2.1778
sim_CPI, 0.3681,0.7996,0.7123,0.5557,0.6756,0.8651,0.4948,0.5261,0.5671,0.4592
il1.hits, 101225766,111991349,117905334,107583396,102386287,119689454,104599880,108706065,100120031,100000007
il1.misses, 54,4864072,2551816,2503371,263,5817590,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0416,0.0212,0.0227,0.0000,0.0464,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351579,38215500,48171533,36159157,6112454,47557029,35794295,35786683,24031566,11989789
dl1.misses, 27164,1014609,200085,24057,103122,988135,171972,13194,257334,255108
dl1.miss_rate, 0.0008,0.0259,0.0041,0.0007,0.0166,0.0204,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26172,5889959,2803015,2531303,158798,7183766,1712732,1784764,375977,382154
ul2.misses, 13613,67983,1326,7142,19529,33089,99086,6783,134820,127565
ul2.miss_rate, 0.3422,0.0114,0.0005,0.0028,0.1095,0.0046,0.0547,0.0038,0.2639,0.2503

run_e_32B, bzip,crafty,eon,equake,swim,wupwise
sim_num_insn, 100000002,100000000,100000002,100000003,100000000,100000001
sim_num_refs, 33393489,38239207,47295206,35403746,24291266,12244900
sim_num_loads, 25471958,32107805,29832501,26923352,21851978,6122448
sim_num_stores, 7921531.0000,6131402.0000,17462705.0000,8480394.0000,2439288.0000,6122452.0000
sim_IPC, 2.5918,1.1449,1.2903,1.6970,1.7266,2.1707
sim_CPI, 0.3858,0.8734,0.7750,0.5893,0.5792,0.4607
il1.hits, 101151626,112225306,118665534,107675065,100119882,100000005
il1.misses, 53,4895092,2559737,2504093,62,15
il1.miss_rate, 0.0000,0.0418,0.0211,0.0227,0.0000,0.0000
dl1.hits, 32268306,32258236,44451225,34695160,23543511,11920038
dl1.misses, 1103577,7213525,4225639,1571024,745372,324858
dl1.miss_rate, 0.0331,0.1828,0.0868,0.0433,0.0307,0.0265
ul2.hits, 1950831,13402827,8122495,4522369,820560,378538
ul2.misses, 27197,57913,2482,14170,254020,255123
ul2.miss_rate, 0.0137,0.0043,0.0003,0.0031,0.2364,0.4026

run_e_64B, bzip,crafty,eon,equake,galgel,gcc
sim_num_insn, 100000002,100000001,100000000,100000003,100000000,100000003
sim_num_refs, 33393489,38239208,47295205,35403746,8998286,46203368
sim_num_loads, 25471958,32107806,29832501,26923352,5268993,35220332
sim_num_stores, 7921531.0000,6131402.0000,17462704.0000,8480394.0000,3729293.0000,10983036.0000
sim_IPC, 2.2780,1.2196,1.3513,1.6562,1.4766,1.1477
sim_CPI, 0.4390,0.8200,0.7400,0.6038,0.6773,0.8713
il1.hits, 101151546,112852765,118697173,108230072,102391890,121300654
il1.misses, 31,3139179,1546679,1907335,136,4300994
il1.miss_rate, 0.0000,0.0271,0.0129,0.0173,0.0000,0.0342
dl1.hits, 30355290,31451385,44672736,33029595,5988128,43721092
dl1.misses, 3002999,8136557,3975475,3267342,231867,5471417
dl1.miss_rate, 0.0900,0.2055,0.0817,0.0900,0.0373,0.1112
ul2.hits, 4467021,12695063,6860594,5950062,307126,11327624
ul2.misses, 13611,68955,1326,7140,19519,33126
ul2.miss_rate, 0.0030,0.0054,0.0002,0.0012,0.0598,0.0029

run_e_128B, bzip,crafty,eon,equake,galgel,swim,wupwise
sim_num_insn, 100000002,100000001,100000000,100000003,100000000,100000000,100000001
sim_num_refs, 33393489,38239208,47295205,35403746,8998286,24291266,12244900
sim_num_loads, 25471958,32107806,29832501,26923352,5268993,21851978,6122448
sim_num_stores, 7921531.0000,6131402.0000,17462704.0000,8480394.0000,3729293.0000,2439288.0000,6122452.0000
sim_IPC, 2.2417,1.2242,1.3543,1.6319,1.4735,1.6447,2.1531
sim_CPI, 0.4461,0.8168,0.7384,0.6128,0.6787,0.6080,0.4644
il1.hits, 101150038,113075948,119175717,108327671,102380815,100119600,100000010
il1.misses, 18,2164240,1103244,1562193,72,18,6
il1.miss_rate, 0.0000,0.0188,0.0092,0.0142,0.0000,0.0000,0.0000
dl1.hits, 30151120,30712710,44785173,31794962,5991055,21513945,11934002
dl1.misses, 3222771,8944788,3878952,4391268,229347,2774938,310894
dl1.miss_rate, 0.0966,0.2256,0.0797,0.1214,0.0369,0.1142,0.0254
ul2.hits, 4773683,12626773,6184942,6744824,307451,3703588,494208
ul2.misses, 6811,92116,737,3614,17676,75011,63787
ul2.miss_rate, 0.0014,0.0072,0.0001,0.0005,0.0544,0.0199,0.1143

run_e_256B, bzip,crafty,eon,equake,gcc,mcf
sim_num_insn, 100000002,100000001,100000000,100000003,100000003,100000001
sim_num_refs, 33393489,38239208,47295205,35403746,46203368,35761063
sim_num_loads, 25471958,32107806,29832501,26923352,35220332,26936325
sim_num_stores, 7921531.0000,6131402.0000,17462704.0000,8480394.0000,10983036.0000,8824738.0000
sim_IPC, 1.7524,1.1328,1.3370,1.5947,1.1283,1.6288
sim_CPI, 0.5706,0.8828,0.7480,0.6271,0.8863,0.6139
il1.hits, 101073730,113528333,119496423,108443422,123087284,104637204
il1.misses, 11,1783625,930350,1183390,2765541,891913
il1.miss_rate, 0.0000,0.0155,0.0077,0.0108,0.0220,0.0085
dl1.hits, 25774197,29851489,44419557,30637029,42146162,31559567
dl1.misses, 7586726,9898358,4239559,5465879,7368443,4575713
dl1.miss_rate, 0.2274,0.2490,0.0871,0.1514,0.1488,0.1266
ul2.hits, 10428356,13260685,6416134,7735106,11906761,6378007
ul2.misses, 3412,126915,428,1839,36061,27093
ul2.miss_rate, 0.0003,0.0095,0.0001,0.0002,0.0030,0.0042
